"Sr. No.","HS Code","HS Description","Country Name","April-2019-20_INR_Cr","April-2019-20_USD_Mn","April-2020-21_INR_Cr","April-2020-21_USD_Mn","April-2021-22_INR_Cr","April-2021-22_USD_Mn","April-2022-23_INR_Cr","April-2022-23_USD_Mn","April-2023-24_INR_Cr","April-2023-24_USD_Mn","April-2024-25_INR_Cr","April-2024-25_USD_Mn","April-2025-26_INR_Cr","April-2025-26_USD_Mn","April-2026-27_INR_Cr","April-2026-27_USD_Mn","August-2019-20_INR_Cr","August-2019-20_USD_Mn","August-2020-21_INR_Cr","August-2020-21_USD_Mn","August-2021-22_INR_Cr","August-2021-22_USD_Mn","August-2022-23_INR_Cr","August-2022-23_USD_Mn","August-2023-24_INR_Cr","August-2023-24_USD_Mn","August-2024-25_INR_Cr","August-2024-25_USD_Mn","August-2025-26_INR_Cr","August-2025-26_USD_Mn","December-2019-20_INR_Cr","December-2019-20_USD_Mn","December-2020-21_INR_Cr","December-2020-21_USD_Mn","December-2021-22_INR_Cr","December-2021-22_USD_Mn","December-2022-23_INR_Cr","December-2022-23_USD_Mn","December-2023-24_INR_Cr","December-2023-24_USD_Mn","December-2024-25_INR_Cr","December-2024-25_USD_Mn","December-2025-26_INR_Cr","December-2025-26_USD_Mn","February-2019-20_INR_Cr","February-2019-20_USD_Mn","February-2020-21_INR_Cr","February-2020-21_USD_Mn","February-2021-22_INR_Cr","February-2021-22_USD_Mn","February-2022-23_INR_Cr","February-2022-23_USD_Mn","February-2023-24_INR_Cr","February-2023-24_USD_Mn","February-2024-25_INR_Cr","February-2024-25_USD_Mn","February-2025-26_INR_Cr","February-2025-26_USD_Mn","January-2019-20_INR_Cr","January-2019-20_USD_Mn","January-2020-21_INR_Cr","January-2020-21_USD_Mn","January-2021-22_INR_Cr","January-2021-22_USD_Mn","January-2022-23_INR_Cr","January-2022-23_USD_Mn","January-2023-24_INR_Cr","January-2023-24_USD_Mn","January-2024-25_INR_Cr","January-2024-25_USD_Mn","January-2025-26_INR_Cr","January-2025-26_USD_Mn","July-2019-20_INR_Cr","July-2019-20_USD_Mn","July-2020-21_INR_Cr","July-2020-21_USD_Mn","July-2021-22_INR_Cr","July-2021-22_USD_Mn","July-2022-23_INR_Cr","July-2022-23_USD_Mn","July-2023-24_INR_Cr","July-2023-24_USD_Mn","July-2024-25_INR_Cr","July-2024-25_USD_Mn","July-2025-26_INR_Cr","July-2025-26_USD_Mn","June-2019-20_INR_Cr","June-2019-20_USD_Mn","June-2020-21_INR_Cr","June-2020-21_USD_Mn","June-2021-22_INR_Cr","June-2021-22_USD_Mn","June-2022-23_INR_Cr","June-2022-23_USD_Mn","June-2023-24_INR_Cr","June-2023-24_USD_Mn","June-2024-25_INR_Cr","June-2024-25_USD_Mn","June-2025-26_INR_Cr","June-2025-26_USD_Mn","June-2026-27_INR_Cr","June-2026-27_USD_Mn","March-2019-20_INR_Cr","March-2019-20_USD_Mn","March-2020-21_INR_Cr","March-2020-21_USD_Mn","March-2021-22_INR_Cr","March-2021-22_USD_Mn","March-2022-23_INR_Cr","March-2022-23_USD_Mn","March-2023-24_INR_Cr","March-2023-24_USD_Mn","March-2024-25_INR_Cr","March-2024-25_USD_Mn","March-2025-26_INR_Cr","March-2025-26_USD_Mn","May-2019-20_INR_Cr","May-2019-20_USD_Mn","May-2020-21_INR_Cr","May-2020-21_USD_Mn","May-2021-22_INR_Cr","May-2021-22_USD_Mn","May-2022-23_INR_Cr","May-2022-23_USD_Mn","May-2023-24_INR_Cr","May-2023-24_USD_Mn","May-2024-25_INR_Cr","May-2024-25_USD_Mn","May-2025-26_INR_Cr","May-2025-26_USD_Mn","May-2026-27_INR_Cr","May-2026-27_USD_Mn","November-2019-20_INR_Cr","November-2019-20_USD_Mn","November-2020-21_INR_Cr","November-2020-21_USD_Mn","November-2021-22_INR_Cr","November-2021-22_USD_Mn","November-2022-23_INR_Cr","November-2022-23_USD_Mn","November-2023-24_INR_Cr","November-2023-24_USD_Mn","November-2024-25_INR_Cr","November-2024-25_USD_Mn","November-2025-26_INR_Cr","November-2025-26_USD_Mn","October-2019-20_INR_Cr","October-2019-20_USD_Mn","October-2020-21_INR_Cr","October-2020-21_USD_Mn","October-2021-22_INR_Cr","October-2021-22_USD_Mn","October-2022-23_INR_Cr","October-2022-23_USD_Mn","October-2023-24_INR_Cr","October-2023-24_USD_Mn","October-2024-25_INR_Cr","October-2024-25_USD_Mn","October-2025-26_INR_Cr","October-2025-26_USD_Mn","September-2019-20_INR_Cr","September-2019-20_USD_Mn","September-2020-21_INR_Cr","September-2020-21_USD_Mn","September-2021-22_INR_Cr","September-2021-22_USD_Mn","September-2022-23_INR_Cr","September-2022-23_USD_Mn","September-2023-24_INR_Cr","September-2023-24_USD_Mn","September-2024-25_INR_Cr","September-2024-25_USD_Mn","September-2025-26_INR_Cr","September-2025-26_USD_Mn"
"188","30","PHARMACEUTICAL PRODUCTS","SAMOA","0.040","0.006","0.000","0.000","0.084","0.011","0.000","0.000","0.000","0.000","0.095","0.011","0.000","0.000","0.031","0.003","0.000","0.000","0.053","0.007","0.000","0.000","0.000","0.000","0.230","0.028","0.055","0.007","0.000","0.000","0.015","0.002","0.273","0.037","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.002","0.000","0.642","0.088","0.065","0.009","0.006","0.001","0.000","0.000","0.011","0.001","0.003","0.000","0.115","0.016","0.241","0.033","0.034","0.005","0.000","0.000","0.026","0.003","0.000","0.000","0.000","0.000","2.094","0.304","0.000","0.000","0.575","0.077","0.053","0.007","0.032","0.004","0.000","0.000","0.201","0.023","0.522","0.075","0.000","0.000","0.034","0.005","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.001","0.000","0.209","0.029","0.384","0.050","0.101","0.012","0.002","0.000","0.000","0.000","0.229","0.025","1.414","0.203","0.047","0.006","0.024","0.003","0.368","0.048","0.000","0.000","0.000","0.000","0.000","0.000","0.157","0.016","0.000","0.000","0.463","0.062","0.000","0.000","0.000","0.000","0.112","0.013","0.345","0.041","0.574","0.065","0.000","0.000","0.464","0.063","0.033","0.004","0.198","0.024","0.000","0.000","0.187","0.022","0.000","0.000","0.018","0.003","0.696","0.095","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"189","30","PHARMACEUTICAL PRODUCTS","GUAM","0.037","0.005","0.000","0.000","0.059","0.008","0.000","0.000","0.601","0.073","0.006","0.001","0.000","0.000","0.000","0.000","0.070","0.010","0.000","0.000","0.000","0.000","0.026","0.003","0.057","0.007","0.000","0.000","0.000","0.000","0.204","0.029","0.081","0.011","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.016","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.231","0.032","0.061","0.008","0.038","0.005","0.100","0.012","0.020","0.002","0.000","0.000","0.072","0.008","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.007","0.001","0.000","0.000","0.000","0.000","0.063","0.009","0.000","0.000","0.016","0.002","0.067","0.009","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.031","0.004","0.061","0.008","0.000","0.000","0.025","0.003","0.000","0.000","0.000","0.000","0.035","0.005","0.000","0.000","0.000","0.000","0.029","0.004","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.223","0.030","0.000","0.000","0.129","0.016","0.000","0.000","0.000","0.000","0.000","0.000","0.058","0.008","0.000","0.000","0.000","0.000","0.000","0.000","0.016","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.125","0.017","0.250","0.034","0.000","0.000","0.008","0.001","0.000","0.000","0.000","0.000"
"190","30","PHARMACEUTICAL PRODUCTS","ANTIGUA","0.032","0.005","0.052","0.007","0.043","0.006","0.423","0.056","0.395","0.048","0.547","0.066","0.366","0.043","0.499","0.053","0.021","0.003","0.028","0.004","0.024","0.003","0.683","0.086","0.415","0.050","0.167","0.020","0.148","0.017","0.245","0.034","0.176","0.024","0.357","0.047","0.141","0.017","0.051","0.006","0.174","0.021","0.314","0.035","0.117","0.016","0.977","0.134","0.141","0.019","0.210","0.025","0.275","0.033","0.301","0.035","0.656","0.072","0.130","0.018","0.157","0.021","0.373","0.050","0.009","0.001","0.196","0.024","0.217","0.025","0.753","0.083","0.132","0.019","0.230","0.031","0.023","0.003","0.038","0.005","0.383","0.047","0.182","0.022","0.161","0.019","0.065","0.009","0.409","0.054","0.091","0.012","0.083","0.011","0.158","0.019","0.650","0.078","0.257","0.030","1.019","0.107","0.100","0.013","0.147","0.020","0.709","0.093","0.344","0.042","0.271","0.033","0.380","0.044","1.308","0.141","0.040","0.006","0.056","0.007","0.211","0.029","0.352","0.046","0.116","0.014","0.191","0.023","0.156","0.018","0.557","0.058","0.310","0.043","0.151","0.020","0.165","0.022","0.068","0.008","0.638","0.077","0.127","0.015","0.282","0.032","0.053","0.007","0.198","0.027","0.244","0.033","0.325","0.039","0.342","0.041","0.324","0.039","0.377","0.043","0.040","0.006","0.261","0.036","0.132","0.018","0.076","0.010","0.334","0.040","0.383","0.046","0.618","0.070"
"191","30","PHARMACEUTICAL PRODUCTS","CAPE VERDE IS","0.015","0.002","0.000","0.000","1.198","0.161","0.005","0.001","0.686","0.084","1.265","0.152","0.980","0.115","0.000","0.000","0.448","0.063","0.175","0.024","0.129","0.017","0.000","0.000","1.992","0.241","0.008","0.001","0.333","0.038","0.359","0.050","0.011","0.001","0.000","0.000","0.299","0.036","0.000","0.000","0.000","0.000","0.000","0.000","0.103","0.014","0.032","0.004","0.588","0.078","0.000","0.000","0.106","0.013","0.000","0.000","0.235","0.026","0.570","0.080","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.288","0.042","0.050","0.007","0.691","0.093","0.609","0.077","0.015","0.002","0.075","0.009","1.047","0.122","0.455","0.066","0.671","0.089","0.000","0.000","0.000","0.000","0.604","0.073","0.460","0.055","0.000","0.000","0.937","0.099","0.006","0.001","0.327","0.045","0.037","0.005","0.259","0.031","0.327","0.039","0.197","0.023","0.981","0.106","0.291","0.042","0.356","0.047","0.000","0.000","0.499","0.065","0.189","0.023","0.252","0.030","0.687","0.081","0.000","0.000","0.098","0.014","0.158","0.021","0.000","0.000","1.169","0.143","0.000","0.000","0.000","0.000","0.126","0.014","0.203","0.029","0.456","0.062","0.000","0.000","0.000","0.000","0.000","0.000","0.021","0.002","0.121","0.014","0.036","0.005","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.001","0.190","0.023","0.265","0.030"
"192","30","PHARMACEUTICAL PRODUCTS","ARUBA","0.013","0.002","0.000","0.000","0.055","0.007","0.000","0.000","0.051","0.006","0.000","0.000","0.051","0.006","0.011","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.011","0.001","0.068","0.008","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.012","0.001","0.007","0.001","0.000","0.000","0.000","0.000","0.002","0.000","0.014","0.002","0.000","0.000","0.000","0.000","0.011","0.001","0.000","0.000","0.006","0.001","0.000","0.000","0.000","0.000","0.013","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.003","0.000","0.000","0.000","0.011","0.001","0.057","0.007","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.002","0.000","0.003","0.000","0.018","0.002","0.020","0.002","0.000","0.000","0.048","0.007","0.000","0.000","0.007","0.001","0.039","0.005","0.012","0.001","0.093","0.011","0.015","0.002","0.018","0.002","0.000","0.000","0.000","0.000","0.003","0.000","0.004","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.074","0.010","0.001","0.000","0.001","0.000","0.000","0.000","0.003","0.000","0.093","0.011","0.012","0.001","0.000","0.000","0.010","0.001","0.000","0.000","0.003","0.000","0.023","0.003","0.067","0.008","0.000","0.000"
"193","30","PHARMACEUTICAL PRODUCTS","PUERTO RICO","0.012","0.002","0.000","0.000","0.002","0.000","0.020","0.003","0.001","0.000","0.003","0.000","0.104","0.012","0.842","0.090","0.000","0.000","0.404","0.054","0.244","0.033","0.121","0.015","0.006","0.001","0.000","0.000","0.425","0.049","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.100","0.011","0.004","0.001","0.132","0.018","0.000","0.000","0.188","0.023","0.000","0.000","0.000","0.000","0.701","0.077","0.000","0.000","0.000","0.000","0.012","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.045","0.007","0.017","0.002","0.106","0.014","0.003","0.000","0.003","0.000","0.013","0.002","0.000","0.000","0.000","0.000","0.055","0.007","0.000","0.000","0.003","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.045","0.005","0.000","0.000","0.055","0.008","0.000","0.000","0.000","0.000","0.002","0.000","0.005","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.362","0.049","0.003","0.000","0.188","0.023","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.323","0.044","0.000","0.000","8.647","1.057","0.000","0.000","0.013","0.002","0.000","0.000","0.000","0.000","0.095","0.013","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.001","0.000","0.000","0.000","0.000","0.143","0.017","0.000","0.000","0.835","0.095"
"194","30","PHARMACEUTICAL PRODUCTS","ANGUILLA","0.011","0.002","0.026","0.003","0.045","0.006","0.017","0.002","0.077","0.009","0.044","0.005","0.108","0.013","0.084","0.009","0.024","0.003","0.000","0.000","0.000","0.000","0.002","0.000","0.147","0.018","0.057","0.007","0.118","0.014","0.022","0.003","0.014","0.002","0.006","0.001","0.000","0.000","0.073","0.009","0.189","0.022","0.033","0.004","0.028","0.004","0.017","0.002","0.000","0.000","0.001","0.000","0.067","0.008","0.050","0.006","0.078","0.009","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.015","0.002","0.069","0.008","0.000","0.000","0.011","0.002","0.000","0.000","0.000","0.000","0.016","0.002","0.028","0.003","0.023","0.003","0.074","0.009","0.000","0.000","0.003","0.000","0.001","0.000","0.000","0.000","0.066","0.008","0.000","0.000","0.034","0.004","0.077","0.008","0.000","0.000","0.058","0.008","0.003","0.000","0.000","0.000","0.178","0.021","0.062","0.007","0.110","0.012","0.000","0.000","0.000","0.000","0.000","0.000","0.001","0.000","0.020","0.002","0.124","0.015","0.227","0.027","0.112","0.012","0.011","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.001","0.014","0.002","0.355","0.040","0.000","0.000","0.000","0.000","0.008","0.001","0.006","0.001","0.030","0.004","0.039","0.005","0.112","0.013","0.010","0.001","0.010","0.001","0.000","0.000","0.000","0.000","0.115","0.014","0.018","0.002","0.062","0.007"
"195","30","PHARMACEUTICAL PRODUCTS","ESTONIA","0.006","0.001","0.074","0.010","0.050","0.007","0.077","0.010","0.193","0.024","0.000","0.000","0.041","0.005","0.520","0.056","0.031","0.004","0.216","0.029","0.233","0.031","0.211","0.027","0.043","0.005","0.000","0.000","0.060","0.007","0.079","0.011","0.205","0.028","0.480","0.064","0.408","0.050","0.270","0.032","0.029","0.003","0.104","0.012","0.045","0.006","0.098","0.014","0.017","0.002","0.196","0.024","0.184","0.022","0.138","0.016","1.104","0.122","0.126","0.018","0.188","0.026","0.026","0.004","0.037","0.004","0.951","0.114","1.037","0.120","0.251","0.028","0.368","0.053","0.259","0.035","0.084","0.011","0.025","0.003","0.207","0.025","0.088","0.011","0.000","0.000","0.096","0.014","0.069","0.009","0.086","0.012","0.082","0.010","0.319","0.039","0.142","0.017","0.149","0.017","0.314","0.033","0.040","0.005","0.168","0.023","0.172","0.023","1.274","0.155","0.404","0.049","0.000","0.000","0.287","0.031","0.174","0.025","0.016","0.002","0.826","0.113","0.040","0.005","0.000","0.000","0.305","0.037","0.325","0.038","0.087","0.009","0.016","0.002","0.056","0.008","0.736","0.099","0.853","0.104","0.294","0.035","0.285","0.034","2.792","0.314","0.082","0.012","0.101","0.014","0.225","0.030","0.000","0.000","0.239","0.029","0.223","0.027","0.376","0.043","0.030","0.004","0.028","0.004","0.618","0.084","0.780","0.097","0.488","0.059","0.168","0.020","0.468","0.053"
"196","30","PHARMACEUTICAL PRODUCTS","GIBRALTAR","0.004","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.004","0.000","0.004","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.002","0.000","0.000","0.000","0.006","0.001","0.000","0.000","0.001","0.000","0.007","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.004","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.005","0.001","0.007","0.001","0.000","0.000"
"197","30","PHARMACEUTICAL PRODUCTS","NAURU RP","0.004","0.001","0.000","0.000","0.200","0.027","0.000","0.000","0.240","0.029","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.143","0.018","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.009","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.005","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.010","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"198","30","PHARMACEUTICAL PRODUCTS","ICELAND","0.000","0.000","0.622","0.082","0.000","0.000","0.000","0.000","0.190","0.023","0.000","0.000","6.162","0.720","0.000","0.000","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.088","0.010","0.007","0.001","0.000","0.000","0.191","0.026","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.134","0.345","0.000","0.000","0.038","0.005","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.035","0.004","0.179","0.026","0.028","0.004","0.000","0.000","0.000","0.000","0.012","0.001","0.000","0.000","9.108","1.058","0.031","0.004","0.491","0.065","0.000","0.000","0.174","0.022","0.000","0.000","0.172","0.021","0.000","0.000","0.034","0.004","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.029","0.350","2.341","0.252","0.000","0.000","0.177","0.023","0.000","0.000","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","1.990","0.208","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.028","0.003","0.000","0.000","0.229","0.026","0.000","0.000","0.070","0.010","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.197","0.027","0.000","0.000","0.000","0.000","0.104","0.012","1.149","0.130"
"199","30","PHARMACEUTICAL PRODUCTS","MAYOTTE","0.000","0.000","0.000","0.000","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"200","30","PHARMACEUTICAL PRODUCTS","NEW CALEDONIA","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.030","0.004","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.015","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.018","0.003","0.000","0.000","0.000","0.000","0.527","0.068","0.006","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.009","0.001","0.000","0.000","0.000","0.000","0.002","0.000","0.000","0.000","0.007","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"201","30","PHARMACEUTICAL PRODUCTS","VIRGIN IS US","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.033","0.004","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.027","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"202","30","PHARMACEUTICAL PRODUCTS","CHRISTMAS IS.","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.028","0.003","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
